Issuer Name,ISIN,Cpn,Issue Date,Maturity,Currency,Bloomberg ID,01/10/2022,01/11/2022,01/12/2022,01/13/2022,01/14/2022,01/17/2022,01/18/2022,01/19/2022,01/20/2022,01/21/2022,01/24/2022
Canadian Government Bond,CA135087L856,0.25,2/5/2021,5/1/2023,CAD,BN9038405,99.082,99.074,99.056,99.042,99.018,98.913,98.864,98.874,98.883,98.93,98.955
Canadian Government Bond,CA135087UT96,8,8/17/1992,6/1/2023,CAD,135087UT9,109.629,109.592,109.548,109.469,109.421,109.278,109.201,109.189,109.132,109.161,109.169
Canadian Government Bond,CA135087A610,1.5,7/30/2012,6/1/2023,CAD,EJ2995995,100.707,100.687,100.678,100.637,100.6,100.485,100.432,100.436,100.443,100.488,100.505
Canadian Government Bond,CA135087M359,0.25,5/14/2021,8/1/2023,CAD,BP5161909,98.808,98.8,98.781,98.763,98.736,98.61,98.553,98.549,98.558,98.611,98.635
Canadian Government Bond,CA135087H987,2,4/6/2018,9/1/2023,CAD,AS0892800,101.565,101.548,101.523,101.492,101.459,101.319,101.254,101.241,101.233,101.286,101.308
Canadian Government Bond,CA135087M763,0.5,8/9/2021,11/1/2023,CAD,BQ9098642,98.968,98.955,98.934,98.911,98.878,98.732,98.666,98.654,98.661,98.717,98.746
Canadian Government Bond,CA135087M920,0.75,10/22/2021,2/1/2024,CAD,BS0586336,99.21,99.19,99.165,99.13,99.09,98.92,98.845,98.84,98.845,98.92,98.955
Canadian Government Bond,CA135087J546,2.25,10/5/2018,3/1/2024,CAD,AU8149901,102.32,102.29,102.28,102.23,102.18,102,101.91,101.89,101.89,101.985,101.985
Canadian Government Bond,CA135087L690,0.25,10/16/2020,4/1/2024,CAD,ZO9618760,97.975,97.96,97.93,97.905,97.865,97.675,97.61,97.595,97.61,97.715,97.755
Canadian Government Bond,CA135087B451,2.5,7/2/2013,6/1/2024,CAD,EJ7362241,102.925,102.86,102.85,102.8,102.78,102.555,102.485,102.42,102.45,102.53,102.615
Canadian Government Bond,CA135087J967,1.5,4/5/2019,9/1/2024,CAD,ZS0489246,100.55,100.52,100.56,100.45,100.44,100.32,100.14,100.02,100.04,100.11,100.18
Canadian Government Bond,CA135087M508,0.75,7/12/2021,10/1/2024,CAD,BQ4678315,98.56,98.555,98.53,98.485,98.435,98.21,98.13,98.11,98.15,98.29,98.35
Canadian Government Bond,CA135087K528,1.25,10/11/2019,3/1/2025,CAD,ZQ0603485,99.65,99.655,99.615,99.585,99.5,99.255,99.125,99.105,99.12,99.285,99.37
Canadian Government Bond,CA135087VH40,9,8/2/1994,6/1/2025,CAD,135087VH4,125.08,125.1,125.07,125.03,124.9,124.57,124.37,124.28,124.2,124.39,124.51
Canadian Government Bond,CA135087D507,2.25,6/30/2014,6/1/2025,CAD,EK3548485,102.92,102.95,102.905,102.905,102.81,102.535,102.355,102.305,102.295,102.47,102.58
Canadian Government Bond,CA135087K940,0.5,4/3/2020,9/1/2025,CAD,BH5185468,96.705,96.74,96.72,96.735,96.68,96.41,96.25,96.145,96.175,96.335,96.5
Canadian Government Bond,CA135087L518,0.25,10/9/2020,3/1/2026,CAD,ZO8493611,95.115,95.155,95.125,95.155,95.055,94.755,94.555,94.505,94.545,94.73,94.875
Canadian Government Bond,CA135087E679,1.5,7/21/2015,6/1/2026,CAD,UV3007514,100.135,100.175,100.14,100.155,100.04,99.71,99.545,99.435,99.44,99.675,99.835
Canadian Government Bond,CA135087L930,1,4/16/2021,9/1/2026,CAD,BP1003147,97.66,97.7,97.67,97.695,97.585,97.24,97.02,96.96,97,97.225,97.4
Canadian Government Bond,CA135087M847,1.25,10/15/2021,3/1/2027,CAD,BR9532150,98.41,98.45,98.41,98.455,98.33,97.955,97.715,97.665,97.71,97.975,98.185
Canadian Government Bond,CA135087VW17,8,5/1/1996,6/1/2027,CAD,CC0002502,133.285,133.32,133.26,133.245,133.1,132.59,132.27,132.16,132.14,132.47,132.7
Canadian Government Bond,CA135087F825,1,8/3/2016,6/1/2027,CAD,QZ0744271,97.295,97.34,97.305,97.335,97.21,96.815,96.57,96.49,96.49,96.795,97
Canadian Government Bond,CA135087H235,2,8/1/2017,6/1/2028,CAD,AO5480923,102.545,102.595,102.535,102.565,102.42,101.94,101.635,101.555,101.635,102.01,102.27
Canadian Government Bond,CA135087WL43,5.75,2/2/1998,6/1/2029,CAD,CC0020322,128.78,128.84,128.77,128.83,128.55,128.02,127.66,127.5,127.54,128.04,128.42
Canadian Government Bond,CA135087J397,2.25,7/27/2018,6/1/2029,CAD,AT7587724,104.59,104.66,104.59,104.67,104.43,103.97,103.64,103.51,103.51,104.02,104.35
Canadian Government Bond,CA135087K379,1.25,7/26/2019,6/1/2030,CAD,AZ8014799,96.7,96.91,96.98,96.96,96.76,96.28,95.98,95.73,95.9,96.46,96.75
Canadian Government Bond,CA135087L443,0.5,10/5/2020,12/1/2030,CAD,ZO7604374,90.22,90.3,90.24,90.34,90.09,89.59,89.28,89.17,89.18,89.75,90.13
Canadian Government Bond,CA135087M276,1.5,4/26/2021,6/1/2031,CAD,BP2380833,98.02,98.13,98.03,98.14,97.87,97.33,96.99,96.88,96.99,97.51,97.91
Canadian Government Bond,CA135087N266,1.5,10/25/2021,12/1/2031,CAD,BS0709235,97.43,97.53,97.43,97.54,97.28,96.71,96.37,96.27,96.39,96.94,97.36
